Fund,Fund Description,Department,Department Description,Business Unit,Business Unit Description,Object Account,Object Account Description,FY2010 Budgeted Revenues,FY2010 Actual Revenues,FY2011 Budgeted Revenues,FY2011 Actual Revenues,FY2012 Budgeted Revenues,FY2012 Actual Revenues,FY2013 Budgeted Revenues,FY2013 Actual Revenues,FY 14 Budgeted Revenues,FY 14 Actual Revenues,FY 15 Budgeted Revenues,FY 15 Actual Revenues,FY 16 Budgeted Revenues,FY 16 Actual Revenues,FY 17 Budgeted Revenues,FY 17 Actual Revenues,FY18 Budgeted Revenues,FY 18 Actual Revenues,FY 19 Budgeted Revenues,FY 19 Actual Revenues,FY2020 Budgeted Revenues,FY2020 Actual Revenues
10101,GSD General,24,Criminal Court Clerk,24100100,CCC Admin,409514,Cost Reimbursement,0,0,0,0,0,-9713.25,0,-10943.99,0.00,-10274.24,0.00,-13558.96,0.00,-11338.24,0.00,-7750.82,0.00,-9198.38,0.00,-5924.56,0,-5357.11
10101,GSD General,24,Criminal Court Clerk,24100100,CCC Admin,406415,TN Cost Reimbursement,-1331000,-1488217.53,-1470000,-1203859.86,-1460000,-1563338.34,-1820000,-1321256.66,-1820000.00,-1150505.77,-1813000.00,-1128196.01,-1338500.00,-1230825.13,-785000.00,-1137515.58,-1335500.00,-910685.26,-864500.00,-787698.72,-869000,-771990.94
10101,GSD General,24,Criminal Court Clerk,24100100,CCC Admin,404200,Court Clerks-Fines & Costs,-250000,-272356.47,-241000,-297239.05,-226000,-260982.68,-231000,-325674.47,-260000.00,-354077.67,-298000.00,-418633.00,-404500.00,-443194.68,-398000.00,-361712.78,-332000.00,-329153.09,-256700.00,-197146.29,-250900,-181039.76
10101,GSD General,24,Criminal Court Clerk,24100100,CCC Admin,404635,Courthouse Security Litig Tax,-15500,-119412.18,-100000,-114732.7,-100000,-114735.09,-105000,-143516.25,-120000.00,-140026.22,-131000.00,-106854.62,-125000.00,-95653.91,-90200.00,-85586.54,-76500.00,-84262.79,-75700.00,-55717.87,-71900,-38287.95
10101,GSD General,24,Criminal Court Clerk,24100100,CCC Admin,407200,Court Clerks-Comm & Fees,-1571000,-2004021.76,-1550000,-2019179.1,-1650000,-2145353.39,-1713000,-2420102.46,-2000000.00,-2551370.52,-2380000.00,-2160672.26,-2165000.00,-2003370.12,-1968300.00,-1789041.07,-1850000.00,-1578999.06,-1495000.00,-1073358.07,-1425900,-811439.98
10101,GSD General,24,Criminal Court Clerk,24100100,CCC Admin,404630,Courtroom Security Enhanc Fee,-20000,-37661.3,-17000,-35600.22,-25000,-47517.02,-30000,-40482.57,-36000.00,-45331.89,-40000.00,-41612.52,-41000.00,-42712.15,-42000.00,-39091.44,-36000.00,-33018.93,-32000.00,-19766.42,-28500,-13751.67
10101,GSD General,24,Criminal Court Clerk,24100100,CCC Admin,404600,Litigation Tax,-250000,-248457.66,-225000,-224979.36,-220000,-236348.59,-215500,-268205.67,-230000.00,-254698.00,-237000.00,-191244.50,-200000.00,-169475.34,-160600.00,-152364.00,-134000.00,-159154.69,-132600.00,-108848.05,-128900,-70791.94
10101,GSD General,24,Criminal Court Clerk,24100100,CCC Admin,403122,Clerk's Data Entry Fee,0,0,0,0,0,1599.75,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0
10101,GSD General,24,Criminal Court Clerk,24100100,CCC Admin,404101,Metro Courts-Fines & Costs,-700000,-875306.83,-715000,-915766.21,-725000,-973455.93,-788000,-1112060.89,-877000.00,-1230783.87,-946500.00,-1093786.07,-1081900.00,-1016249.08,-983500.00,-960257.34,-879000.00,-864239.72,-611600.00,-553359.43,-624200,-296157.01
10101,GSD General,24,Criminal Court Clerk,24100100,CCC Admin,404106,DUI Fines,-313000,-429132.81,-317500,-428743.43,-305000,-426042.87,-339000,-419651.71,-390000.00,-411633.17,-408000.00,-359497.16,-354000.00,-319307.17,-283800.00,-278369.57,-247400.00,-278063.74,-265000.00,-200576.16,-240900,-169906.27
10101,GSD General,24,Criminal Court Clerk,24100100,CCC Admin,404107,Game/Fish Violation Fine,-2500,-2686.29,-2500,-1340.57,-1400,-1487.14,-1700,-1331.77,-1500.00,-1956.15,-1500.00,-1491.75,-1500.00,-1546.65,-2000.00,-1516.50,-2000.00,-966.15,-1000.00,-765.00,-1000,-2025
10101,GSD General,24,Criminal Court Clerk,24100100,CCC Admin,404109,Pre-Trial Diversion Cost,-1800,-2784.7,-2000,-4565.29,-2000,-3944.37,-2000,-3121.79,-2200.00,-359.57,-500.00,-668.39,-500.00,-1201.51,-500.00,-179.23,-500.00,-110.99,-100.00,-117.68,-200,-570
10101,GSD General,24,Criminal Court Clerk,24100100,CCC Admin,404110,Indigent Defendant Cost,-165000,-178997.34,-162000,-188653.45,-162000,-202743.44,-175000,-226986.01,-190000.00,-235356.96,-200000.00,-195026.69,-215000.00,-193629.13,-190200.00,-169211.21,-156000.00,-139195.34,-150000.00,-83108.04,-118900,-56300.94
10101,GSD General,24,Criminal Court Clerk,24100100,CCC Admin,404211,Impact Demo Prog Fee,0,-698.48,-200,-19,-100,-213.75,-100,-105.45,-100.00,0.00,0.00,-78.61,-100.00,0.00,-100.00,0.00,-100.00,-176.46,-100.00,0.00,-100,0
10101,GSD General,24,Criminal Court Clerk,24100100,CCC Admin,404244,Return Prisoners Cost,0,-4937.53,0,-5093.59,0,-1044.04,0,-5604.08,0.00,-2134.51,0.00,-4204.85,0.00,-1316.70,0.00,-3037.02,0.00,-2002.98,0.00,-1828.43,-1000,-142.46
10101,GSD General,24,Criminal Court Clerk,24100100,CCC Admin,404350,Breath Alc Conc Test Fee,-9000,-11324.34,-9400,-10166.81,-8000,-10155.88,-8000,-9621.11,-8600.00,-7903.11,-8600.00,-6036.01,-7800.00,-5004.63,-4500.00,-4052.12,-3500.00,-3208.36,-3300.00,-2065.50,-2700,-2321.61
10101,GSD General,24,Criminal Court Clerk,24100100,CCC Admin,404451,DUI Program,-25000,-50887.22,-30000,-44755.84,-33000,-44060.29,-35000,-43159.59,-40000.00,-50741.52,-45000.00,-42078.15,-49000.00,-35060.61,-35000.00,-33660.05,-28500.00,-24901.99,-25000.00,-20128.27,-19100,-22666.06
10101,GSD General,24,Criminal Court Clerk,24100100,CCC Admin,404454,CCC Probation Fees,-315000,-734921.1,-150000,-253218.29,-175000,-124745.15,-91000,-81408.24,-40000.00,-61482.33,-40000.00,-52026.19,-40000.00,-53168.58,-48200.00,-42953.70,-40900.00,-39654.06,-38500.00,-26725.83,-26500,-20098.69
10101,GSD General,24,Criminal Court Clerk,24100100,CCC Admin,404640,Victims Assistance Assessment,-5000,-8587.05,-4300,-8374.76,-7000,-9930.89,-8500,-11342.23,-10000.00,-12981.81,-14000.00,-11572.14,-11000.00,-10877.16,-10000.00,-10071.70,-9000.00,-9957.90,-8900.00,-5452.76,-8500,-3742.93
10101,GSD General,24,Criminal Court Clerk,24100100,CCC Admin,407250,Agency Collections - CCC,0,-18.75,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0
10101,GSD General,25,Clerk and Master - Chancery,25100100,CHA Admin,401531,Attorney Fee-C&M,-646000,-582639.62,-617500,-674365.02,-546300,-679047.26,-641300,-599660.84,-513000.00,-515698.85,0.00,-519132.39,0.00,-409402.96,0.00,-457142.41,0.00,-442783.40,-434900.00,-385947.44,-396400,-319946.59
10101,GSD General,25,Clerk and Master - Chancery,25100100,CHA Admin,404200,Court Clerks-Fines & Costs,0,0,0,0,0,-2100,0,0,0.00,0.00,0.00,-500.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0
10101,GSD General,25,Clerk and Master - Chancery,25100100,CHA Admin,404635,Courthouse Security Litig Tax,-39200,-29379.21,-37000,-22167.81,-29400,-25374.52,-25200,-24057.17,-21700.00,-24053.69,-21700.00,-22523.09,-25200.00,-19792.80,-22400.00,-17518.01,-16800.00,-18507.14,-19000.00,-19809.60,-18800,-18572.48
10101,GSD General,25,Clerk and Master - Chancery,25100100,CHA Admin,407200,Court Clerks-Comm & Fees,-1638000,-1457753.61,-1345500,-1468351.71,-1310700,-1417231.19,-1366500,-1347876.21,-1179500.00,-1184528.19,-1260000.00,-1100017.28,-1193800.00,-931432.48,-1100000.00,-978222.08,-971900.00,-975468.57,-836100.00,-948954.60,-920400,-857392.49
10101,GSD General,25,Clerk and Master - Chancery,25100100,CHA Admin,404600,Litigation Tax,-49000,-37731.24,-46300,-32699.12,-36700,-31822.24,-31500,-30267.76,-27100.00,-30232.76,-27100.00,-28192.02,-31500.00,-24722.99,-28000.00,-21968.54,-21000.00,-23192.12,-22100.00,-24800.82,-23500,-23191.92
10101,GSD General,25,Clerk and Master - Chancery,25100100,CHA Admin,404503,Vacant Lot Legal Fees,-500,-118,-200,-127.22,-100,0,0,0,0.00,0.00,0.00,-96.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0
10101,GSD General,26,Juvenile Court,26110010,x-JUVDrug Court Key,404103,Drug Screening Fine,-5500,-3675,-5000,-1206,-5000,-1125,-4000,-1380,-1500.00,-1125.00,-1200.00,-1040.00,-1200.00,-185.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0
10101,GSD General,26,Juvenile Court,26111910,JUV Juv Detention Key,404250,Juvenile Inmate Board,-4600,-2650,-3000,0,-3000,0,-2500,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0
10101,GSD General,26,Juvenile Court,26111910,JUV Juv Detention Key,407782,Telephone-Non Metro,0,0,0,0,0,-200.27,0,0,0.00,0.00,0.00,0.00,0.00,-5104.14,-4200.00,-8008.03,-5000.00,-9024.74,-5000.00,-8452.74,-6300,-12643.48
10101,GSD General,26,Juvenile Court,26112510,JUV ALOB HR Key Product,405471,Interest-MIP,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0
10101,GSD General,26,Juvenile Court,26112510,JUV ALOB HR Key Product,406401,TN Funded Programs,-9000,-9000,-9000,-8221.34,-9000,-4480.7,-9000,-7339.86,-9000.00,-7552.00,-9000.00,-9000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0
10101,GSD General,26,Juvenile Court,26112610,JUV ALOB Finance Payroll Autho,406200,Fed thru State PassThru,-434300,-417620.3,-434000,-434333,-434000,-434333,-434300,-434333,-434300.00,-434333.00,-434300.00,-434333.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0
10101,GSD General,27,General Sessions Court,27101000,GSC Judges,404600,Litigation Tax,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,-34000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0
10101,GSD General,27,General Sessions Court,27101000,GSC Judges,404645,Litigation Tax GSC Judges,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,-82756.50,-79000.00,-92987.00,-88000.00,-96043.39,-89400.00,-88634.90,-89400,-69617.97
10101,GSD General,27,General Sessions Court,27103021,GSC General Probation,404103,Drug Screening Fine,-28500,-39722.98,-35000,-38493.6,-35000,-71698.9,-54000,-80550.42,0.00,-3884.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0
10101,GSD General,27,General Sessions Court,27103021,GSC General Probation,404452,Elctrnic Monitor Prog,-36000,-64086.78,-60000,-64956.5,-61600,-24703.25,-25800,-10695,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0
10101,GSD General,27,General Sessions Court,27103021,GSC General Probation,404455,GSC Probation Fees,-315000,-175344,-450000,-917209.7,-850000,-1107621.64,-900000,-1163818.37,-925000.00,-1192617.33,-1008500.00,-1103023.70,-1008500.00,-932800.54,-800000.00,-869954.68,-820000.00,-706495.85,-675000.00,-578180.74,-530000,-377695.79
10101,GSD General,27,General Sessions Court,27104010,GSC PreTrial Release Services,407725,Pre-Trial Release Service,0,-180.5,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0
10101,GSD General,27,General Sessions Court,27106011,GSC Traffic School,404300,DUI & Safety Ed Prog Fee,0,-2070,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0
10101,GSD General,27,General Sessions Court,27106011,GSC Traffic School,404302,Traffic School Fee,-2791400,-1793235.57,-2171500,-1521362.99,-1759000,-1693554.68,-1575800,-1919305.79,-1725600.00,-1741681.59,-1725600.00,-1592334.67,-1690000.00,-1411772.42,-1350800.00,-1092801.55,-1000000.00,-1072845.96,-1000000.00,-979379.75,-1100000,-674827.25
10101,GSD General,27,General Sessions Court,27106011,GSC Traffic School,404303,Driver's License Reinst Fee,0,-903565,-962500,-878860,-700000,-832245,-820000,-703158,-725000.00,-937640.00,-750000.00,-910965.00,-750000.00,-1002620.00,-900000.00,-1000420.00,-990000.00,-900155.00,-900000.00,-224645.00,0,0
10101,GSD General,27,General Sessions Court,27310200,GSC Mental Health Court,405471,Interest-MIP,0,0,0,0,0,0,0,0,0.00,0.00,0.00,-15.97,0.00,-28.08,0.00,-9.29,0.00,0.00,0.00,0.00,0,0
10101,GSD General,27,General Sessions Court,27310200,GSC Mental Health Court,405472,Unrealized Gain/Loss MIP,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.59,0.00,1.95,0.00,2.58,0.00,0.00,0.00,0.00,0,0
10101,GSD General,27,General Sessions Court,27310200,GSC Mental Health Court,405473,Realized Gain/Loss MIP,0,0,0,0,0,0,0,0,0.00,0.00,0.00,2.70,0.00,-0.03,0.00,0.73,0.00,0.00,0.00,0.00,0,0
10101,GSD General,28,State Trial Courts,28101000,STC Administration,405471,Interest-MIP,0,0,0,0,0,0,0,0,0.00,-781.94,0.00,-1013.56,0.00,-2027.94,0.00,-2780.80,0.00,-5132.13,0.00,-7515.39,0,-5161.54
10101,GSD General,28,State Trial Courts,28101000,STC Administration,405472,Unrealized Gain/Loss MIP,0,0,0,0,0,0,0,0,0.00,-2342.61,0.00,-1798.91,0.00,-576.92,0.00,-68.15,0.00,-207.01,0.00,-3223.86,0,-697.43
10101,GSD General,28,State Trial Courts,28101000,STC Administration,405473,Realized Gain/Loss MIP,0,0,0,0,0,0,0,0,0.00,3.40,0.00,106.82,0.00,26.75,0.00,479.50,0.00,1085.48,0.00,1429.79,0,562.25
10101,GSD General,28,State Trial Courts,28101000,STC Administration,407619,Video,0,0,0,0,0,0,0,-2640,0.00,-4466.10,0.00,-11465.00,0.00,-8735.00,-7500.00,-7281.00,-9000.00,-7520.00,-9000.00,-8311.00,-8000,-8031
10101,GSD General,28,State Trial Courts,28106100,STC Jury Expense,406417,Jury Lunch Reimbursement,-84800,-19511.74,-16000,-10083.9,-16000,-14335.33,-16000,-14277.87,-16000.00,-12761.33,-14000.00,-7539.66,-14000.00,-4942.84,-12500.00,-8966.67,-12500.00,0.00,0.00,0.00,0,0
10101,GSD General,30,Sheriff,30122110,SHE CJC Offender Mgmt Key,406150,US Marshall Reimbursement,-1000000,-1423411.91,-1063000,-1438902.51,-1258000,-1367943.13,-1258000,-1097901.59,-1258000.00,-818196.72,-1258000.00,-334041.35,-1000000.00,-181077.02,0.00,-10193.37,-20000.00,4268.96,0.00,-4727.80,0,-159322.8
10101,GSD General,30,Sheriff,30122110,SHE CJC Offender Mgmt Key,409504,Telephone,-297000,-339191.36,-355000,-357757.04,-355000,-334965.04,-371800,-284357.73,-371800.00,-233810.39,-371800.00,-274382.24,-345400.00,-360596.92,0.00,-2617.25,0.00,0.00,0.00,0.00,0,0
10101,GSD General,30,Sheriff,30122130,SHE MC2 Offender Management,406150,US Marshall Reimbursement,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,-330000.00,0.00,0.00,-8242.03,0.00,0.00,0,0
10101,GSD General,30,Sheriff,30122130,SHE MC2 Offender Management,409504,Telephone,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,-367900.00,0.00,0.00,0.00,0.00,0.00,0,0
10101,GSD General,30,Sheriff,30122310,SHE Booking and Releasing,407725,Pre-Trial Release Service,-100000,-125135,-130000,-108436.86,-130000,-107096.5,-100000,-93863.75,-100000.00,-81685.48,-100000.00,-75954.50,-100000.00,-77136.95,-75000.00,-96852.50,-75000.00,-69565.22,0.00,-42.88,0,-0.35
10101,GSD General,30,Sheriff,30122310,SHE Booking and Releasing,406412,Jail Inmate Reimbursment,-960000,-368867,-600000,-394792,-360000,-349103,-360000,-180377,-180000.00,-107421.00,-180000.00,-89609.00,-100000.00,-48495.00,-90000.00,-94367.00,-90000.00,-35075.00,-72000.00,-240059.43,-72000,0
10101,GSD General,30,Sheriff,30122410,SHE HDC Programs Key,409522,GED Testing,-4000,-7267,-4000,-7490,-7000,-4285,-7000,-5770,-7000.00,-7935.00,-7000.00,-1800.00,-7100.00,0.00,-5000.00,0.00,0.00,0.00,0.00,0.00,0,0
10101,GSD General,30,Sheriff,30122610,SHE HDC Offender Mgmt Key,409504,Telephone,-139000,-223727.34,-166000,-217412.68,-166000,-208249.08,-173900,-228109.68,-173900.00,-192269.80,-173900.00,-268032.61,-374600.00,-285486.47,-328500.00,-167.18,0.00,0.00,0.00,0.00,0,0
10101,GSD General,30,Sheriff,30122710,SHE HDC Support Staff Key,409522,GED Testing,0,0,0,0,0,0,0,0,0.00,0.00,0.00,-2250.00,0.00,-375.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0
10101,GSD General,30,Sheriff,30122810,SHE CDC-M Programs  Key,407791,Inmate Board,-100000,-48777.66,-100000,-24863.32,-50000,-36503.97,-25000,-27378.46,-25000.00,-40681.54,-25000.00,-30844.57,-40000.00,-21157.44,-35000.00,-12922.93,-35000.00,0.00,0.00,0.00,0,0
10101,GSD General,30,Sheriff,30122910,SHE CDC-M Offend Mgmt Key,406150,US Marshall Reimbursement,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-9998.90,0,0
10101,GSD General,30,Sheriff,30122910,SHE CDC-M Offend Mgmt Key,409504,Telephone,-347000,-308558.21,-414700,-372549.21,-300000,-370975.93,-314200,-334329.29,-314200.00,-298326.69,-314200.00,-292938.65,-383800.00,-448797.60,-397100.00,14781.54,0.00,0.00,0.00,0.00,0,0
10101,GSD General,30,Sheriff,30122910,SHE CDC-M Offend Mgmt Key,407791,Inmate Board,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0
10101,GSD General,30,Sheriff,30123610,SHE CDC-F Offender Mgmt Key,409504,Telephone,0,-173778.21,0,-155745.79,-114700,-133584.09,-120100,-119064.72,-120100.00,-97187.05,-120100.00,-130987.91,-161100.00,-139566.74,0.00,0.00,0.00,0.00,0.00,0.00,0,0
10101,GSD General,30,Sheriff,30124010,SHE ORC Programs Key,404300,DUI & Safety Ed Prog Fee,-500000,-502421.49,-500000,-435566.02,-500000,-416680.5,-500000,-436080.85,-500000.00,-108660.00,-500000.00,0.00,-370000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0
10101,GSD General,30,Sheriff,30124030,SHE DUI School,404300,DUI & Safety Ed Prog Fee,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0
10101,GSD General,30,Sheriff,30124110,SHE ORC Offend Mgmt Key,409504,Telephone,-37000,-56040.89,-44300,-32750.68,-44300,-11.42,0,0,0.00,-20093.78,0.00,-19908.31,0.00,-672.13,-168400.00,-7230.36,0.00,0.00,0.00,0.00,0,0
10101,GSD General,30,Sheriff,30124310,SHE ORC Support Staff key,404300,DUI & Safety Ed Prog Fee,0,0,0,0,0,0,0,0,0.00,-260939.69,0.00,-290727.00,0.00,-262726.99,-300000.00,-203341.00,-335000.00,-173482.00,-335000.00,-147620.99,-335000,-70721
10101,GSD General,30,Sheriff,30124310,SHE ORC Support Staff key,407791,Inmate Board,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-16646.89,-9000.00,-22033.37,-9000,-13416.97
10101,GSD General,30,Sheriff,30124410,SHE Correct Svcs Key,409515,Sale Of Miscellaneous Items,-10000,0,-10000,0,-10000,0,-10000,0,-10000.00,0.00,-10000.00,0.00,-10000.00,0.00,-6000.00,0.00,0.00,0.00,0.00,0.00,0,0
10101,GSD General,30,Sheriff,30124910,SHE Admin Support Svcs Key,405471,Interest-MIP,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0
10101,GSD General,30,Sheriff,30124910,SHE Admin Support Svcs Key,409518,Other,0,-107731.28,0,-104722.31,-100000,-130675.55,-112000,-118745.51,-112000.00,-96905.47,-112000.00,-63049.22,-112000.00,-36115.27,-60000.00,-7322.89,-28000.00,-1134.62,-25000.00,-2653.82,-25000,-2142
10101,GSD General,30,Sheriff,30124910,SHE Admin Support Svcs Key,406200,Fed thru State PassThru,-125000,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0
10101,GSD General,30,Sheriff,30124910,SHE Admin Support Svcs Key,407725,Pre-Trial Release Service,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-700.00,0.00,0.00,0.00,0.00,0,0
10101,GSD General,30,Sheriff,30124910,SHE Admin Support Svcs Key,409504,Telephone,0,-739.75,0,-952.85,0,-360.32,0,-500.06,0.00,-370.87,0.00,-611.06,0.00,-208.75,-2500000.00,-2500002.00,0.00,0.00,0.00,0.00,0,-104
10101,GSD General,30,Sheriff,30124910,SHE Admin Support Svcs Key,406412,Jail Inmate Reimbursment,-4300000,-3789329.26,-4300000,-3870172.76,-4300000,-2685668.81,-4000000,-2777218.41,-2800000.00,-1662463.49,-2800000.00,-1730740.11,-2000000.00,-2082952.89,-1730000.00,-1788008.48,-1730000.00,-2256483.40,-1730000.00,-2017555.92,-2075000,-933816.82
10101,GSD General,30,Sheriff,30124910,SHE Admin Support Svcs Key,409515,Sale Of Miscellaneous Items,0,0,0,0,0,-818.85,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0
10101,GSD General,30,Sheriff,30124910,SHE Admin Support Svcs Key,404750,Confiscated Cash,0,-31,0,-130.61,0,-122,0,-42,0.00,-96.00,0.00,-173.08,0.00,-73.00,0.00,-233.86,0.00,-194.00,0.00,-118.00,0,-482.79
10101,GSD General,30,Sheriff,30124910,SHE Admin Support Svcs Key,407719,Background Check,-8000,0,-8000,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,-3180.00,0.00,-4695.00,-5000.00,0.00,-5000.00,-4320.00,-5000,-19350
10101,GSD General,30,Sheriff,30124910,SHE Admin Support Svcs Key,407721,Supervision Fees,-23000,-108736.51,-53000,-102882.06,-53000,-129145.25,-100000,-128606.25,-100000.00,-130859.00,-100000.00,-142108.49,-130000.00,-228503.75,-130000.00,-210982.68,-130000.00,-257710.00,-220000.00,-184975.49,-220000,-87427
10101,GSD General,30,Sheriff,30124910,SHE Admin Support Svcs Key,407789,Inmate Processing Fees,-120000,-174599.3,-120000,-162642.46,-120000,-155973.7,-120000,-184389.56,-120000.00,-151015.45,-120000.00,-161631.46,-120000.00,-146973.48,-160000.00,-123534.55,-100000.00,-88326.17,-100000.00,-55614.87,-100000,-36964.52
10101,GSD General,30,Sheriff,30124910,SHE Admin Support Svcs Key,407790,Medical Co-Pay,-28000,-32963.39,-28000,-25264.14,-28000,-20836.83,-28000,-24341.51,-28000.00,-21693.62,-28000.00,-23337.44,-21000.00,-28479.36,-21000.00,-24608.18,-21000.00,-21919.91,-21000.00,-20408.26,-21000,-16000.45
10101,GSD General,30,Sheriff,30124910,SHE Admin Support Svcs Key,409513,Finders Fee-Rtn SSI,-50000,-156200,-90000,-111200,-90000,-92200,-90000,-94800,-90000.00,-176600.00,-90000.00,-134200.00,-175000.00,-128600.00,-100000.00,-105400.00,-100000.00,-118000.00,-100000.00,-43000.00,-100000,-33200
10101,GSD General,30,Sheriff,30125210,SHE Warrants Key,407788,Serve Summons Cost,-1300000,-1327730.95,-1300000,-1277029.66,-1300000,-1247576.6,-1300000,-1317393.01,-1300000.00,-1334627.93,-1300000.00,-1263573.75,-1300000.00,-1281470.32,-1300000.00,-1741711.38,-1700000.00,-1707355.81,-1820000.00,-1847381.64,-1820000,-1600064.07
10101,GSD General,30,Sheriff,30125210,SHE Warrants Key,407793,Out of County Processing Fee,-220000,-369619.67,-250000,-438889.13,-250000,-441372.04,-350000,-472243.92,-400000.00,-450480.75,-400000.00,-452276.33,-450000.00,-500037.57,-450000.00,-526414.81,-450000.00,-586029.80,-530000.00,-644398.88,-530000,-608777.1
10101,GSD General,30,Sheriff,30125310,SHE Transportation Key,409518,Other,0,-14.82,0,-50.88,0,0,0,0,0.00,-20.45,0.00,-8.03,0.00,0.00,0.00,0.00,0.00,-7.73,0.00,-15.76,0,-3.88
10101,GSD General,30,Sheriff,30127100,SHE DDC Offender Management,406150,US Marshall Reimbursement,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,-717665
10101,GSD General,31,Police,31121201,POL Inspections Key,409514,Cost Reimbursement,0,-260,0,-370,0,-250,0,-580,0.00,-380.00,0.00,-10.00,0.00,-620.00,0.00,-450.00,0.00,-80.00,0.00,0.00,0,0
10101,GSD General,31,Police,31121252,POL Training Personnel/In-Serv,406415,TN Cost Reimbursement,-718800,-724800,-756600,-749400,-798000,-738000,-802600,-742800,-815400.00,-754200.00,-858600.00,-781800.00,-858600.00,-804600.00,-847200.00,-799200.00,-864000.00,-802800.00,-868200.00,-802200.00,-864000,-1042000
10101,GSD General,31,Police,31121252,POL Training Personnel/In-Serv,407719,Background Check,0,-54538.53,-40000,-35715,-40000,-49650,-36000,-61454,-36000.00,-33288.00,-36000.00,-9252.00,-36000.00,-2277.00,-5000.00,-54.00,-5000.00,0.00,-5000.00,0.00,-5000,0
10101,GSD General,31,Police,31121252,POL Training Personnel/In-Serv,407749,Spec Police Commiss'n,-11000,-18685,-11000,-9655,-15400,-12660,-15400,-13040,-15400.00,-12610.00,-15400.00,-15140.00,-15400.00,-13600.00,-15400.00,-14325.00,-15400.00,-12470.00,-15400.00,-13880.00,-15400,-12405
10101,GSD General,31,Police,31121260,POL Vehicle Operations,404900,Court Ordered Restitutions,0,0,0,0,0,0,0,0,0.00,0.00,0.00,-182.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,24.43
10101,GSD General,31,Police,31121355,POL Specialized Investigations,408702,External Source Recovery,0,0,0,0,0,0,0,0,0.00,0.00,0.00,-4628.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0
10101,GSD General,31,Police,31121355,POL Specialized Investigations,404900,Court Ordered Restitutions,0,0,0,0,0,0,0,0,0.00,0.00,0.00,-422.31,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0
10101,GSD General,31,Police,31121451,POL Youth Services Key,408702,External Source Recovery,0,0,0,0,0,0,0,0,0.00,-405.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0
